17.maintenance_schedule,,,,
Purpose:Scheduled maintenance activities for proactive asset management and lifecycle planning,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for maintenance schedule
asset_id,FK NOT NULL,INT,1-M,Asset ID (Foreign Key referencing asset.id)
maintenance_type_id,FK NOT NULL,INT,1-M,Maintenance type ID (Foreign Key referencing maintenance_type.id)
scheduled_date,NOT NULL,DATE,,Scheduled maintenance date
frequency_days,NULL,INT,,Frequency in days for recurring maintenance
description,NULL,TEXT,,Maintenance description
assigned_to,FK NULL,INT,1-M,Employee assigned to maintenance (Foreign Key referencing employee.id)
status,NOT NULL DEFAULT 'SCHEDULED',VARCHAR(20),,Status: SCHEDULED IN_PROGRESS COMPLETED CANCELLED
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,Schedule status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated
