22.notification,,,,
Purpose:System notifications for users about asset assignments maintenance and other important events,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for notification
user_id,FK NOT NULL,INT,1-M,Recipient user ID (Foreign Key referencing user.id)
type,NOT NULL,VARCHAR(50),,Notification type: ASSET_ASSIGNED MAINTENANCE_DUE etc.
title,NOT NULL,VARCHAR(255),,Notification title
message,NOT NULL,TEXT,,Notification message
related_table,NULL,VARCHAR(50),,Related table name
related_id,NULL,INT,,Related record ID
is_read,NOT NULL DEFAULT FALSE,BOOLEAN,,Read status
priority,NOT NULL DEFAULT 'NORMAL',VARCHAR(10),,Priority: LOW NORMAL HIGH URGENT
expires_at,NULL,TIMESTAMPTZ,,Expiration timestamp
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when notification was created
read_at,NULL,TIMESTAMPTZ,,Timestamp when notification was read
