24.report_template,,,,
Purpose:Predefined report templates for generating various asset and employee reports,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for report template
name,NOT NULL,VARCHAR(100),,Report template name
description,NULL,TEXT,,Report description
template_type,NOT NULL,VARCHAR(50),,Type: ASSET_INVENTORY EMPLOYEE_ASSETS MAINTENANCE etc.
sql_query,NULL,TEXT,,SQL query for generating report
parameters,NULL,JSONB,,Report parameters configuration
output_format,NOT NULL DEFAULT 'CSV',VARCHAR(10),,Output format: CSV PDF XLSX
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,Template status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated
